"Sampling_platform","Year","Species","Port_sampled","Date_of_collection","Length","Macro_Maturity_code","Oregon_sample.","Fish_Id","Ovary_Id","Certainty","1","2","3","4_1","4_2","5","6","7","8","9","10","11","12","Biological_maturity","Functional_maturity","Macro_maturity","atresia","Spawning","Spent"
"ODFW",2016,"Arrowtooth","Astoria","10/13/2016",23,1,"OR1651935",21,386,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",0,0,0,0,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/11/2016",28,1,"OR160851",8,222,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",0,0,0,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/18/2016",28,1,"OR1652208",28,510,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",0,0,0,0,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/13/2016",29,1,"OR1651935",18,226,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",0,0,0,0,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/18/2016",32,1,"OR1652208",3,145,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,15,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/31/2016",32,1,"OR1652054",23,1096,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,1,"N","N"
"ODFW",2016,"Arrowtooth","Brookings","12/5/2016",33,3,"OR1652432",13,814,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","1/25/2017",33,1,"",17,1196,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",0,0,0,0,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/13/2016",34,1,"OR1651935",17,366,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,0,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/13/2016",34,1,"OR1651935",16,634,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,5,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/18/2016",35,1,"OR1652208",24,328,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/2/2016",35,1,"OR1652162",10,495,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,5,"N","N"
"ODFW",2016,"Arrowtooth","Brookings","12/5/2016",35,3,"OR1652432",4,852,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Newport","12/14/2016",35,3,"OR1652330",10,882,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/13/2016",36,7,"OR1651935",4,455,1,"Y","Y","Y","Y","Y","Y","N","N","N","N",NA,"N","N",1,0,1,50,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/18/2016",37,1,"OR1652208",13,324,1,"Y","Y","Y","Y","N","N","N","N","N","N",NA,"N","N",1,0,0,50,"N","N"
"ODFW",2016,"Arrowtooth","Brookings","12/5/2016",37,3,"OR1652432",15,832,1,"Y","Y","N","N","N","N","Y","Y","Y","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/18/2016",38,1,"OR1652208",26,114,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,5,"N","N"
"ODFW",2016,"Arrowtooth","Brookings","12/5/2016",38,3,"OR1652432",6,864,1,"Y","Y","N","N","N","N","N","Y","Y","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Brookings","12/5/2016",38,7,"OR1652432",11,876,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,1,0,"N","N"
"ODFW",2016,"Arrowtooth","Newport","10/4/2016",38,3,"OR1652371",3,988,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/13/2016",39,7,"OR1651935",11,112,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",0,0,1,5,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/18/2016",39,1,"OR1652208",12,707,1,"Y","Y","Y","Y","N","N","N","N","N","N",NA,"N","N",1,0,0,50,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/28/2016",39,1,"OR160850",25,752,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,15,"N","N"
"ODFW",2016,"Arrowtooth","Brookings","12/5/2016",39,3,"OR1652432",2,828,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Newport","12/14/2016",39,3,"OR1652330",2,897,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,10,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","2/9/2017",39,6,"",8,1199,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"Y","N",1,1,1,2,"N","Y"
"ODFW",2016,"Arrowtooth","Astoria","11/18/2016",40,1,"OR1652208",4,298,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,0,10,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/18/2016",40,3,"OR1652208",5,302,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,15,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/11/2016",40,3,"OR160851",3,309,1,"Y","Y","Y","Y","Y","N","N","N","N","N",NA,"N","N",1,1,1,5,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/2/2016",40,3,"OR1652162",8,333,1,"Y","Y","N","N","N","N","Y","Y","Y","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Brookings","12/5/2016",40,3,"OR1652432",3,798,1,"Y","Y","N","N","N","N","N","Y","N","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Brookings","12/5/2016",40,3,"OR1652432",12,880,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Newport","12/4/2016",40,4,"OR1652283",30,936,1,"Y","Y","N","N","N","N","N","Y","Y","N",NA,"N","N",1,1,1,5,"N","N"
"ODFW",2016,"Arrowtooth","Newport","12/4/2016",40,3,"OR1652283",18,986,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","1/25/2017",40,7,"",11,1184,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Brookings","12/5/2016",41,6,"OR1652432",14,802,1,"Y","Y","N","N","N","N","N","N","N","Y",NA,"Y","N",1,1,1,5,"N","Y"
"ODFW",2016,"Arrowtooth","Brookings","12/5/2016",41,7,"OR1652432",1,810,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Brookings","12/5/2016",41,7,"OR1652432",5,856,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",0,0,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Newport","12/4/2016",41,3,"OR1652283",12,994,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Newport","11/18/2016",41,3,"OR1652198",6,1025,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","1/25/2017",41,7,"",5,1203,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"Y","N",1,1,1,2,"N","Y"
"ODFW",2016,"Arrowtooth","Newport","10/4/2016",42,3,"OR1652371",2,929,1,"Y","Y","N","N","Y","Y","Y","N","N","N",NA,"N","N",1,1,1,10,"N","N"
"ODFW",2016,"Arrowtooth","Newport","10/4/2016",42,3,"OR1652371",8,1044,1,"Y","Y","N","N","N","Y","Y","N","N","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","3/2/2017",42,7,"",11,1153,1,"Y","Y","Y","Y","N","N","N","N","N","N",NA,"Y","Y",1,1,1,10,"N","Y"
"ODFW",2016,"Arrowtooth","Astoria","11/18/2016",43,3,"OR1652208",2,110,1,"Y","Y","N","N","N","Y","Y","N","N","N",NA,"N","N",1,1,1,20,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","1/25/2017",43,7,"",4,1211,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"Y","N",1,1,1,5,"N","Y"
"ODFW",2016,"Arrowtooth","Astoria","10/11/2016",44,3,"OR160851",21,23,1,"Y","Y","Y","Y","N","Y","Y","N","N","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/11/2016",44,3,"OR160851",2,437,1,"Y","Y","Y","Y","N","N","N","N","N","N",NA,"N","N",1,0,1,75,"N","N"
"ODFW",2016,"Arrowtooth","Newport","12/4/2016",44,3,"OR1652283",8,954,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Newport","10/4/2016",44,3,"OR1652371",5,960,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Newport","11/18/2016",44,3,"OR1652198",12,1022,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","2/9/2017",44,6,"",6,1180,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"Y","N",1,1,1,5,"N","Y"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",44,7,"OR160849",7,1273,1,"Y","Y","N","N","N","Y","Y","N","N","N",NA,"N","N",1,1,1,20,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/11/2016",45,7,"OR160851",18,41,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",0,0,1,15,"N","N"
"ODFW",2016,"Arrowtooth","Newport","12/4/2016",45,3,"OR1652283",29,886,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Newport","11/18/2016",45,3,"OR1652198",18,1030,1,"Y","Y","N","N","N","N","Y","Y","Y","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","2/9/2017",45,6,"",7,1195,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"Y","Y",1,1,1,2,"N","Y"
"ODFW",2016,"Arrowtooth","Newport","11/18/2016",46,3,"OR1652198",4,952,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,5,"N","N"
"ODFW",2016,"Arrowtooth","Newport","10/4/2016",46,3,"OR1652371",4,992,1,"Y","Y","N","N","N","Y","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/11/2016",47,3,"OR160851",13,242,1,"Y","Y","N","N","Y","Y","Y","N","N","N",NA,"N","N",1,1,1,5,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","1/9/2017",47,6,"",5,356,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"Y","N",1,1,1,5,"N","Y"
"ODFW",2016,"Arrowtooth","Brookings","12/5/2016",47,4,"OR1652432",9,872,1,"Y","Y","N","N","N","N","N","Y","Y","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Newport","12/4/2016",47,3,"OR1652283",6,920,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,5,"N","N"
"ODFW",2016,"Arrowtooth","Newport","10/4/2016",47,3,"OR1652371",1,943,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Newport","12/4/2016",47,6,"OR1652283",7,966,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"Y","N",1,1,1,10,"N","Y"
"ODFW",2017,"Arrowtooth","Astoria","2/9/2017",47,7,"",5,1215,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"Y","Y",1,1,1,5,"N","Y"
"ODFW",2017,"Arrowtooth","Astoria","1/9/2017",48,6,"",3,424,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"Y","N",1,1,1,5,"N","Y"
"ODFW",2017,"Arrowtooth","Astoria","2/9/2017",48,6,"",11,1179,1,"Y","Y","Y","Y","N","N","N","N","N","N",NA,"Y","Y",1,1,1,5,"N","Y"
"ODFW",2016,"Arrowtooth","Astoria","11/2/2016",49,4,"OR1652162",22,381,1,"Y","Y","N","N","N","N","N","Y","Y","N",NA,"N","N",1,1,1,2,"Y","N"
"ODFW",2016,"Arrowtooth","Astoria","11/2/2016",49,3,"OR1652162",23,390,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/28/2016",49,4,"OR160850",11,788,1,"Y","Y","N","N","N","N","Y","Y","Y","N",NA,"N","N",1,1,1,5,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","1/9/2017",50,5,"",8,355,1,"Y","Y","Y","N","N","N","N","N","N","Y",NA,"Y","N",1,1,1,10,"N","Y"
"ODFW",2016,"Arrowtooth","Newport","11/18/2016",50,3,"OR1652198",9,1033,1,"Y","Y","N","N","N","N","N","Y","Y","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",50,3,"OR160849",12,1272,1,"Y","Y","N","N","N","N","Y","Y","Y","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",50,3,"OR160849",20,1275,1,"Y","Y","N","N","N","Y","Y","Y","N","N",NA,"N","N",1,1,1,5,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",50,3,"OR160849",18,1303,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",50,3,"OR160849",5,1308,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,10,"N","N"
"ODFW",2016,"Arrowtooth","Newport","11/18/2016",51,3,"OR1652198",5,1017,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Newport","10/4/2016",51,3,"OR1652371",25,1037,1,"Y","Y","N","N","N","Y","Y","N","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","3/2/2017",51,7,"",4,1145,1,"Y","Y","Y","Y","N","N","N","N","N","N",NA,"Y","Y",1,1,1,5,"N","Y"
"ODFW",2017,"Arrowtooth","Astoria","2/9/2017",51,7,"",4,1219,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"Y","Y",1,1,1,5,"N","Y"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",51,3,"OR160849",9,1277,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",52,3,"OR160849",26,739,1,"Y","Y","N","Y","Y","Y","Y","N","N","N",NA,"N","N",1,1,1,10,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",52,3,"OR160849",29,748,1,"Y","Y","Y","Y","N","N","N","N","N","N",NA,"N","N",1,0,1,90,"N","N"
"ODFW",2016,"Arrowtooth","Newport","12/4/2016",52,4,"OR1652283",2,948,1,"Y","Y","N","N","N","N","N","Y","Y","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",52,1,"OR160849",22,1278,1,"Y","Y","Y","Y","N","N","N","N","N","N",NA,"N","N",1,0,0,5,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",52,3,"OR160849",10,1296,1,"Y","Y","N","N","N","N","N","Y","Y","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Newport","11/18/2016",53,3,"OR1652198",10,1006,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/28/2016",54,4,"OR160850",19,756,1,"Y","Y","Y","N","Y","Y","Y","N","N","N",NA,"N","N",1,1,1,5,"N","N"
"ODFW",2016,"Arrowtooth","Newport","11/18/2016",54,3,"OR1652198",22,1032,1,"Y","Y","N","N","N","N","Y","Y","Y","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","2/9/2017",54,7,"",9,1202,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"Y","N",1,1,1,5,"N","Y"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",55,1,"OR160849",24,728,1,"Y","Y","Y","Y","N","N","N","N","N","N",NA,"N","N",1,0,0,5,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/2/2016",55,3,"OR1652162",3,775,1,"Y","Y","N","N","N","N","N","Y","Y","N",NA,"N","N",1,1,1,5,"N","N"
"ODFW",2016,"Arrowtooth","Newport","10/4/2016",55,3,"OR1652371",14,990,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Newport","12/4/2016",56,4,"OR1652283",1,978,1,"Y","Y","N","N","N","N","Y","Y","Y","N",NA,"N","N",1,1,1,5,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","10/11/2016",57,3,"OR160851",5,248,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","1/9/2017",57,5,"",12,281,1,"Y","Y","N","N","N","N","N","N","N","Y",NA,"N","N",1,1,1,5,"Y","N"
"ODFW",2017,"Arrowtooth","Astoria","1/9/2017",57,6,"",1,293,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"Y","N",1,1,1,15,"N","Y"
"ODFW",2016,"Arrowtooth","Astoria","10/11/2016",58,3,"OR160851",4,322,1,"Y","Y","N","N","N","Y","Y","Y","N","N",NA,"N","N",1,1,1,5,"N","N"
"ODFW",2017,"Arrowtooth","Astoria","1/9/2017",58,6,"",2,357,1,"Y","Y","Y","N","N","N","N","N","N","Y",NA,"Y","N",1,1,1,5,"N","Y"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",58,3,"OR160849",11,1268,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/28/2016",59,4,"OR160850",9,747,1,"Y","Y","N","N","N","N","Y","Y","Y","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",59,3,"OR160849",4,1236,1,"Y","Y","N","N","N","Y","Y","Y","N","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",61,3,"OR160849",6,1304,1,"Y","Y","N","N","N","Y","Y","Y","N","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",61,3,"OR160849",1,1320,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/28/2016",62,4,"OR160850",14,761,1,"Y","Y","N","N","N","N","N","Y","Y","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",63,3,"OR160849",2,1276,1,"Y","Y","N","N","N","N","Y","Y","Y","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",63,3,"OR160849",13,1284,1,"Y","Y","N","N","N","N","N","Y","Y","N",NA,"N","N",1,1,1,2,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","11/2/2016",66,3,"OR1652162",2,394,1,"Y","Y","N","N","N","N","N","Y","Y","N",NA,"N","N",1,1,1,1,"N","N"
"ODFW",2016,"Arrowtooth","Astoria","9/19/2016",73,3,"OR160849",25,1315,1,"Y","Y","N","N","N","Y","Y","N","N","N",NA,"N","N",1,1,1,5,"N","N"
