"Sampling_platform","Year","Species","Port.sampled","Date.of.Collection","Oregon_Sample_Id","Fish_ID","Ovary_ID","Certainty","1","2","3","4_1","4_2","5","6","7","8","9","10","11","12","Macro_Maturity_Code","Length","Biological_maturity","Functional_maturity","Macro_maturity","atresia","Spawning","Spent","Batch_spent","size","N","prop_bio","prop_fun","prop_macro"
"ODFW",2016,"Sablefish","Newport","2/4/2016","or160973",9,767,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,40,0,0,0,0,"N","N","N",40,1,0,0,0
"ODFW",2016,"Sablefish","Astoria","1/26/2016","OR160004",12,321,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,41,0,0,0,0,"N","N","N",41,1,0,0,0
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",12,370,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,43,0,0,0,0,"N","N","N",43,1,0,0,0
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",23,75,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,44,0,0,0,0,"N","N","N",44,1,0,0,0
"ODFW",2015,"Sablefish","Astoria","11/6/2015","OR154694",2,47,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,45,0,0,0,0,"N","N","N",45,4,0,0,0
"ODFW",2015,"Sablefish","Astoria","12/1/2015","SP150015",6,73,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,45,0,0,0,0,"N","N","N",47,4,0,0,0
"ODFW",2016,"Sablefish","Astoria","1/26/2016","OR160004",7,45,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,45,0,0,0,0,"N","N","N",48,3,0,0,0
"ODFW",2016,"Sablefish","Newport","3/21/2016","OR161012",11,622,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,45,0,0,0,0,"N","N","N",49,6,0.166666667,0.166666667,0.166666667
"ODFW",2015,"Sablefish","Astoria","11/6/2015","OR154694",1,14,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,47,0,0,0,0,"N","N","N",50,4,0,0,0.25
"ODFW",2015,"Sablefish","Astoria","12/1/2015","SP150015",4,314,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,47,0,0,0,0,"N","N","N",51,4,0,0,0.5
"ODFW",2016,"Sablefish","Newport","2/4/2016","or160973",2,142,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,47,0,0,0,0,"N","N","N",52,1,0,0,1
"ODFW",2016,"Sablefish","Newport","3/21/2016","OR161012",2,105,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,47,0,0,0,0,"N","N","N",53,5,0,0,0.4
"ODFW",2015,"Sablefish","Astoria","11/6/2015","OR154694",25,458,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,48,0,0,0,0,"N","N","N",54,5,0.2,0.2,0.4
"ODFW",2015,"Sablefish","Astoria","12/1/2015","SP150015",1,122,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,48,0,0,0,0,"N","N","N",55,3,0,0,0.333333333
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",5,419,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,48,0,0,0,0,"N","N","N",56,6,0.166666667,0.166666667,0.5
"ODFW",2016,"Sablefish","Newport","2/4/2016","or160973",6,427,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,49,0,0,0,0,"N","N","N",57,2,0.5,0.5,1
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",1,297,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,49,0,0,0,0,"N","N","N",60,1,1,1,1
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",14,422,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,49,0,0,0,0,"N","N","N",61,3,0.666666667,0.666666667,1
"ODFW",2016,"Sablefish","Newport","3/21/2016","OR161012",10,129,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,49,0,0,0,0,"N","N","N",63,3,1,1,1
"ODFW",2016,"Sablefish","Newport","3/21/2016","OR161012",4,631,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,49,0,0,0,0,"N","N","N",64,1,1,1,1
"ODFW",2015,"Sablefish","Astoria","11/6/2015","OR154694",20,457,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",3,49,1,1,1,1,"N","N","N",65,1,0,0,1
"ODFW",2015,"Sablefish","Astoria","11/6/2015","OR154694",30,468,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,50,0,0,0,0,"N","N","N",66,2,1,1,1
"ODFW",2015,"Sablefish","Astoria","12/1/2015","SP150015",7,80,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,50,0,0,0,0,"N","N","N",68,2,0.5,0.5,1
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",3,289,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,50,0,0,0,0,"N","N","N",69,3,1,1,1
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",9,426,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",7,50,0,0,1,0,"N","N","N",70,3,1,1,1
"ODFW",2015,"Sablefish","Astoria","11/6/2015","OR154694",15,534,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,51,0,0,0,0,"N","N","N",71,1,1,1,1
"ODFW",2015,"Sablefish","Astoria","11/23/2015","OR154893",20,89,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,51,0,0,0,0,"N","N","N",72,1,1,1,1
"ODFW",2016,"Sablefish","Astoria","1/26/2016","OR160004",4,69,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",7,51,0,0,1,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","1/26/2016","OR160004",15,310,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",7,51,0,0,1,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","12/1/2015","SP150015",5,349,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",7,52,0,0,1,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/23/2015","OR154893",10,214,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",2,53,0,0,0,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","12/1/2015","SP150015",2,3,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,53,0,0,0,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",8,430,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,53,0,0,0,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","1/25/2016","SP160002",1,447,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",7,53,0,0,1,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",11,382,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",7,53,0,0,1,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",20,352,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,54,0,0,0,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",22,441,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,54,0,0,0,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Newport","3/21/2016","OR161012",6,244,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,54,0,0,0,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/23/2015","OR154893",14,202,1,"Y","Y","Y","N","N","N","Y","Y","N","N",NA,"N","N",3,54,1,1,1,1,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","1/26/2016","OR160004",9,20,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",7,54,0,0,1,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Newport","3/21/2016","OR161012",5,220,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,55,0,0,0,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Newport","3/21/2016","OR161012",13,623,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,55,0,0,0,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","1/25/2016","SP160002",2,448,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",7,55,0,0,1,1,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/6/2015","OR154694",16,414,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,56,0,0,0,1,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/6/2015","OR154694",29,476,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,56,0,0,0,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",19,451,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",2,56,0,0,0,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/6/2015","OR154694",11,18,1,"Y","Y","N","N","N","Y","Y","Y","N","N",NA,"N","N",3,56,1,1,1,1,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",2,266,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",7,56,0,0,1,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",6,423,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",7,56,0,0,1,2,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",21,345,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",7,57,0,0,1,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",16,502,1,"Y","Y","Y","Y","N","N","N","N","N","N",NA,"Y","Y",7,57,1,1,1,2,"N","Y","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/6/2015","OR154694",24,444,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",3,60,1,1,1,1,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Newport","1/12/2016","OR160965",3,115,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",3,61,1,1,1,1,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Newport","1/12/2016","OR160965",1,369,1,"Y","Y","N","N","N","N","Y","Y","Y","N",NA,"N","N",3,61,1,1,1,1,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/23/2015","OR154819",4,53,1,"Y","Y","N","N","N","N","N","N","N","N",NA,"N","N",7,61,0,0,1,1,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/23/2015","OR154819",7,54,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",3,63,1,1,1,1,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Newport","2/4/2016","or160973",1,196,1,"Y","Y","Y","Y","N","N","N","N","N","N",NA,"Y","N",7,63,1,1,1,2,"N","Y","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","3/18/2016","OR160040",21,95,1,"Y","Y","Y","Y","Y","N","N","N","N","N",NA,"N","N",7,63,1,1,1,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/23/2015","OR154819",1,51,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",3,64,1,1,1,1,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/23/2015","OR154819",3,59,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",7,65,0,0,1,5,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/6/2015","OR154694",17,453,1,"Y","Y","N","N","N","N","Y","Y","Y","N",NA,"N","N",3,66,1,1,1,2,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/6/2015","OR154694",21,514,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",3,66,1,1,1,1,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",4,439,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"N","N",6,68,0,0,1,75,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Astoria","2/17/2016","OR160006",26,8204,1,"Y","Y","Y","Y","N","N","N","N","N","N",NA,"Y","N",7,68,1,1,1,2,"N","Y","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/6/2015","OR154694",9,15,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",3,69,1,1,1,1,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Newport","2/4/2016","or160973",10,265,1,"Y","Y","Y","Y","N","N","N","N","N","N",NA,"Y","N",3,69,1,1,1,1,"N","Y","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Newport","3/21/2016","OR161012",3,101,1,"Y","Y","Y","Y","N","N","N","N","N","Y",NA,"Y","Y",7,69,1,1,1,5,"N","Y","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/23/2015","OR154819",13,58,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",3,70,1,1,1,0,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Newport","1/12/2016","OR160965",2,374,1,"Y","Y","N","N","N","N","Y","Y","Y","N",NA,"N","N",3,70,1,1,1,10,"Y","N","N",NA,NA,NA,NA,NA
"ODFW",2016,"Sablefish","Newport","3/21/2016","OR161012",7,672,1,"Y","Y","Y","N","N","N","N","N","N","N",NA,"Y","Y",7,70,1,1,1,5,"N","Y","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/23/2015","OR154819",12,50,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",3,71,1,1,1,1,"N","N","N",NA,NA,NA,NA,NA
"ODFW",2015,"Sablefish","Astoria","11/23/2015","OR154819",6,60,1,"Y","Y","N","N","N","N","Y","Y","N","N",NA,"N","N",3,72,1,1,1,10,"N","N","N",NA,NA,NA,NA,NA
