"sampling_platform","year","species","port_sampled","port_biologist_initials","date_of_collection","length_cm","weight_lbs","converted_lbs_to_kg","macro_maturity_code","oregon_sample_number","fish_id_number","ovary_id_number","slide_number","date_read","reader","certainty","bad_slide","x1","x2","x3","x4_1","x4_2","x5","x6","x7","x8","x9","x10","biological_maturity","functional_maturity","percent_atresia","spawning","x11","batch_spent","x12","po_fs_present_y_n","histology_notes","data_notes","port_sampler_remarks","processing_notes","x42","individual_stage_analysis","histo_stage","bio_macro_agree"
"ODFW",2015,"Sablefish","Astoria","SF",2015-12-01,53,3.2,1.45,2,"SP150015",2,3,3,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",2015,"Sablefish","Astoria","SF",2015-11-06,47,2.2,1,2,"OR154694",1,14,14,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",2015,"Sablefish","Astoria","SF",2015-11-06,69,8.2,3.72,3,"OR154694",9,15,15,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",2015,"Sablefish","Astoria","SF",2015-11-06,56,4.3,1.95,3,"OR154694",11,18,18,2017-01-25,"MH",1,"N","Y","Y","N","N","N","Y","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",2016,"Sablefish","Astoria","KL",2016-01-26,54,3.1,1.41,7,"OR160004",9,20,20,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"2",0
"ODFW",2016,"Sablefish","Astoria","KL",2016-01-26,45,2,0.91,2,"OR160004",7,45,45,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-06,45,1.7,0.77,2,"OR154694",2,47,47,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-23,71,8.1,3.67,3,"OR154819",12,50,50,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-23,64,6.3,2.86,3,"OR154819",1,51,51,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-23,61,5,2.27,7,"OR154819",4,53,53,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,1,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"2",0
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-23,63,5.6,2.54,3,"OR154819",7,54,54,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-23,70,7.9,3.58,3,"OR154819",13,58,58,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-23,65,5.9,2.68,7,"OR154819",3,59,59,2017-01-25,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,5,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"3",0
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-23,72,8.8,3.99,3,"OR154819",6,60,60,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,10,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",NA,"Sablefish","Astoria","KL",2016-01-26,51,2.4,1.09,7,"OR160004",4,69,69,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"2",0
"ODFW",NA,"Sablefish","Astoria","SF",2015-12-01,45,1.9,0.86,2,"SP150015",6,73,73,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,44,1.8,0.82,2,"OR160006",23,75,75,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-12-01,50,2.8,1.27,2,"SP150015",7,80,80,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","KL",2015-11-23,51,2.7,1.22,2,"OR154893",20,89,89,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-03-18,63,6.1,2.77,7,"OR160040",21,95,95,2017-01-25,"MH",1,"N","Y","Y","Y","Y","Y","N","N","N","N","N","NA",1,1,0,"N","N","N","N","N","Some oocytes already well developed with about 25% yolk",NA,NA,NA,NA,0,"4_2",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-03-21,69,6.8,3.08,7,"OR161012",3,101,101,2017-01-25,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","Y","NA",1,1,5,"N","Y","N","Y","Y","A few pofs, a residual stage 9s left being reabsorbed, post spawning, but oocytes were already developing yolk",NA,NA,NA,NA,1,"12",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-03-21,47,2.3,1.04,2,"OR161012",2,105,105,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-01-12,61,5.4,2.45,3,"OR160965",3,115,115,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-12-01,48,2,0.91,2,"SP150015",1,122,122,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-03-21,49,2.3,1.04,2,"OR161012",10,129,129,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-02-04,47,1.9,0.86,2,"or160973",2,142,142,2017-01-25,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-02-04,63,5,2.27,7,"or160973",1,196,196,2017-01-26,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","NA",1,1,2,"N","Y","N","N","Y","Post spawning, some early yolk development already",NA,NA,NA,NA,0,"11",1
"ODFW",NA,"Sablefish","Astoria","KL",2015-11-23,54,3.9,1.77,3,"OR154893",14,202,202,2017-01-26,"MH",1,"N","Y","Y","Y","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",NA,"Sablefish","Astoria","KL",2015-11-23,53,3.4,1.54,2,"OR154893",10,214,214,2017-01-26,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"3",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-03-21,55,3.7,1.68,2,"OR161012",5,220,220,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-03-21,54,3.2,1.45,2,"OR161012",6,244,244,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-02-04,69,7,3.18,3,"or160973",10,265,265,2017-01-26,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","NA",1,1,1,"N","Y","N","N","Y",NA,NA,NA,NA,NA,0,"11",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,56,3.7,1.68,7,"OR160006",2,266,266,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"2",0
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,50,2.7,1.22,2,"OR160006",3,289,289,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,49,2.4,1.09,2,"OR160006",1,297,297,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","KL",2016-01-26,51,3,1.36,7,"OR160004",15,310,310,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"2",0
"ODFW",NA,"Sablefish","Astoria","SF",2015-12-01,47,2.2,1,2,"SP150015",4,314,314,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","KL",2016-01-26,41,1.5,0.68,2,"OR160004",12,321,321,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,57,3.8,1.72,7,"OR160006",21,345,345,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"2",0
"ODFW",NA,"Sablefish","Astoria","SF",2015-12-01,52,2.9,1.32,7,"SP150015",5,349,349,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"2",0
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,54,2.9,1.32,2,"OR160006",20,352,352,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-01-12,61,5.3,2.4,3,"OR160965",1,369,369,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","Y","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"8",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,43,1.6,0.73,2,"OR160006",12,370,370,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-01-12,70,7.75,3.52,3,"OR160965",2,374,374,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","Y","N","NA",1,1,10,"Y","N","N","N","N","Spawning, some oocytes don't look healthy, possibly 2 batches.",NA,NA,NA,NA,0,"8",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,53,3.2,1.45,7,"OR160006",11,382,382,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"2",0
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-06,56,3.8,1.72,2,"OR154694",16,414,414,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,48,2.1,0.95,2,"OR160006",5,419,419,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,49,2.4,1.09,2,"OR160006",14,422,422,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,56,3.9,1.77,7,"OR160006",6,423,423,2017-01-26,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,2,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"3",0
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,50,2.7,1.22,7,"OR160006",9,426,426,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"2",0
"ODFW",NA,"Sablefish","Newport","JSM",2016-02-04,49,2.3,1.04,2,"or160973",6,427,427,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,53,3.4,1.54,2,"OR160006",8,430,430,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,68,6.6,2.99,6,"OR160006",4,439,439,2017-01-26,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","NA",1,0,75,"N","N","N","N","N","Mass atresia, appears to be skipped spawning",NA,NA,NA,NA,0,"4_1",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,54,3.3,1.5,2,"OR160006",22,441,441,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-06,60,5.8,2.63,3,"OR154694",24,444,444,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",NA,"Sablefish","Astoria","KL",2016-01-25,53,3.4,1.54,7,"SP160002",1,447,447,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"2",0
"ODFW",NA,"Sablefish","Astoria","KL",2016-01-25,55,3.9,1.77,7,"SP160002",2,448,448,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,1,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"2",0
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,56,3.4,1.54,2,"OR160006",19,451,451,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-06,66,6.9,3.13,3,"OR154694",17,453,453,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","Y","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,NA,0,"8",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-06,49,2.6,1.18,3,"OR154694",20,457,457,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-06,48,2.2,1,2,"OR154694",25,458,458,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-06,50,2.6,1.18,2,"OR154694",30,468,468,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-06,56,3.8,1.72,2,"OR154694",29,476,476,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,57,3.5,1.59,7,"OR160006",16,502,502,2017-01-26,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","NA",1,1,2,"N","Y","N","Y","Y",NA,NA,NA,NA,NA,1,"12",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-06,66,6.8,3.08,3,"OR154694",21,514,514,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"7",1
"ODFW",NA,"Sablefish","Astoria","SF",2015-11-06,51,3,1.36,2,"OR154694",15,534,534,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-03-21,45,2,0.91,2,"OR161012",11,622,622,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-03-21,55,3.6,1.63,2,"OR161012",13,623,623,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-03-21,49,2.4,1.09,2,"OR161012",4,631,631,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-03-21,70,6.7,3.04,7,"OR161012",7,672,672,2017-01-26,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",1,1,5,"N","Y","N","Y","Y","Post spawning",NA,NA,NA,NA,1,"12",1
"ODFW",NA,"Sablefish","Newport","JSM",2016-02-04,40,1.4,0.64,2,"or160973",9,767,767,2017-01-26,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,NA,1,"2",1
"ODFW",NA,"Sablefish","Astoria","SF",2016-02-17,68,6.9,3.13,7,"OR160006",26,8204,8204,2017-01-26,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","NA",1,1,2,"N","Y","N","N","Y","post spawning, one residual stage 9, POFs, some oocytes already maturing",NA,NA,NA,NA,0,"11",1
